Row, Timestamp, Series 1, Series 2, Series 3, Series 4, Series 5, Series 6, Series 7, Series 8
141 , 14.256, 1      , 1      , 1      , 0      , 1      , 0      , , 
142 , 14.356, 1      , 1      , 1      , 0      , 1      , 0      , , 
143 , 14.456, 1      , 1      , 1      , 0      , 1      , 0      , , 
144 , 14.556, 1      , 1      , 1      , 0      , 1      , 0      , , 
145 , 14.656, 1      , 1      , 1      , 0      , 1      , 0      , , 
146 , 14.756, 1      , 1      , 1      , 0      , 1      , 0      , , 
147 , 14.856, 1      , 1      , 1      , 0      , 1      , 0      , , 
148 , 14.956, 1      , 1      , 1      , 0      , 1      , 0      , , 
149 , 15.056, 1      , 1      , 1      , 0      , 1      , 0      , , 
150 , 15.156, 1      , 1      , 1      , 0      , 1      , 0      , , 
151 , 15.256, 1      , 1      , 1      , 0      , 1      , 0      , , 
152 , 15.356, 1      , 1      , 1      , 0      , 1      , 0      , , 
153 , 15.456, 1      , 1      , 1      , 0      , 1      , 0      , , 
154 , 15.556, 1      , 1      , 1      , 0      , 1      , 0      , , 
155 , 15.656, 1      , 1      , 0      , 0      , 1      , 0      , , 
156 , 15.756, 1      , 1      , 0      , 0      , 1      , 0      , , 
157 , 15.856, 1      , 1      , 0      , 0      , 1      , 0      , , 
158 , 15.956, 1      , 1      , 0      , 0      , 1      , 0      , , 
159 , 16.056, 1      , 1      , 0      , 0      , 1      , 0      , , 
160 , 16.156, 1      , 1      , 0      , 0      , 1      , 0      , , 
161 , 16.256, 1      , 1      , 0      , 0      , 1      , 0      , , 
162 , 16.356, 1      , 1      , 0      , 0      , 1      , 0      , , 
163 , 16.456, 1      , 1      , 0      , 0      , 1      , 0      , , 
164 , 16.556, 1      , 1      , 0      , 0      , 1      , 0      , , 
165 , 16.656, 1      , 1      , 0      , 0      , 1      , 0      , , 
166 , 16.756, 1      , 1      , 0      , 0      , 1      , 0      , , 
167 , 16.856, 1      , 1      , 0      , 0      , 1      , 0      , , 
168 , 16.956, 1      , 1      , 0      , 0      , 1      , 0      , , 
169 , 17.056, 1      , 1      , 0      , 0      , 1      , 0      , , 
170 , 17.156, 1      , 1      , 0      , 0      , 1      , 0      , , 
171 , 17.256, 1      , 1      , 0      , 0      , 1      , 0      , , 
172 , 17.356, 1      , 1      , 0      , 0      , 1      , 0      , , 
173 , 17.456, 1      , 1      , 0      , 0      , 1      , 0      , , 
174 , 17.556, 1      , 1      , 0      , 0      , 1      , 0      , , 
175 , 17.656, 1      , 1      , 0      , 100    , 1      , 0      , , 
176 , 17.756, 1      , 1      , 0      , 0      , 1      , 0      , , 
177 , 17.856, 1      , 1      , 0      , 0      , 1      , 0      , , 
178 , 17.956, 1      , 1      , 0      , 0      , 1      , 0      , , 
179 , 18.056, 1      , 1      , 0      , 0      , 1      , 0      , , 
180 , 18.156, 1      , 1      , 0      , 0      , 1      , 0      , , 
181 , 18.256, 1      , 1      , 0      , 0      , 1      , 0      , , 
182 , 18.356, 1      , 1      , 0      , 0      , 1      , 0      , , 
183 , 18.456, 1      , 1      , 0      , 0      , 1      , 0      , , 
184 , 18.556, 1      , 1      , 0      , 0      , 1      , 0      , , 
185 , 18.656, 1      , 1      , 0      , 0      , 1      , 0      , , 
186 , 18.756, 1      , 1      , 0      , 0      , 1      , 0      , , 
187 , 18.856, 1      , 1      , 0      , 0      , 1      , 0      , , 
188 , 18.956, 1      , 1      , 0      , 0      , 1      , 0      , , 
189 , 19.056, 1      , 1      , 0      , 0      , 1      , 0      , , 
190 , 19.156, 1      , 1      , 0      , 0      , 1      , 0      , , 
191 , 19.256, 1      , 1      , 0      , 0      , 1      , 0      , , 
192 , 19.356, 1      , 1      , 0      , 0      , 1      , 0      , , 
193 , 19.456, 1      , 1      , 0      , 0      , 1      , 0      , , 
194 , 19.556, 1      , 1      , 0      , 0      , 1      , 0      , , 
195 , 19.656, 1      , 1      , 0      , 0      , 1      , 0      , , 
196 , 19.756, 1      , 1      , 0      , 0      , 1      , 0      , , 
197 , 19.856, 1      , 1      , 0      , 100    , 1      , 0      , , 
198 , 19.956, 1      , 1      , 0      , 100    , 1      , 0      , , 
199 , 20.056, 1      , 1      , 0      , 100    , 1      , 0      , , 
200 , 20.156, 1      , 1      , 0      , 100    , 1      , 0      , , 
